Txn Hash,Method,Timestamp,From,To,TokenID,Contract Address,value
0xcfe6addf3e904c7d85c09125b043d9e529ff68880a0f609272da0330bb1f8839,0x3b6d032e,2022-05-18 20:57:57,queenkayx.eth,hurryupandbai.eth,5330,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xc5b5eddbd30993018989dc257ff3428c2fa4a022a173a795fe261ad6fed5d80c,0x3b6d032e,2022-05-18 20:55:56,0xe6013fe896007cd6182384c8fd48aa6d88fa73ff,hurryupandbai.eth,5603,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x4962a2e89c6a0321d1bd42ee66fb51c6d8202471f4be037aa4cca5599edc51a3,0x3b6d032e,2022-05-18 20:55:56,0x6593a3c9575e1cde6c82690afbf12d07cd50513b,hurryupandbai.eth,5604,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x2974416a44a72af86e7fba12abd8c0e0f96d6162af285b76ad3683805151b310,0x3b6d032e,2022-05-18 20:55:21,swae.eth,hurryupandbai.eth,5566,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xb1f6d38f4bb1a7cd779744cc7aad44ae4d383a87aad163fba0100cf71d373c43,0x3b6d032e,2022-05-18 20:54:56,0xe0e93b0ffd74d38a14f497b5bccddb12b86f2f4f,hurryupandbai.eth,5069,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xe97c27a9d364522de6b940fbea001c1b69e06bf1f7de0018b3cd2275e783df76,0x3b6d032e,2022-05-18 20:54:25,acceptmyw.eth,hurryupandbai.eth,1861,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xc41d91d359668f4c3cd5678fcd35fea379611e6ee96e5a9bf6dc33bea669786c,0x3b6d032e,2022-05-18 20:50:19,acceptmyw.eth,maimon495.eth,1937,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x1ffed3a2a6e9bb8a2a8108dcd6ca3299d5246c6a22b681600bd81703b2e8465b,0xb4e4b296,2022-05-18 20:45:14,0x7bbfa65a696d0584601bb5c7744532eb9ebf9ae8,0xc202caabcd625c6600e8fb72c27afd41dba91a56,9763,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0285
0xc1287d891e22281b48cd4f9333213ea2ac3a4bf1e6aeb1c2d5acec21800d007d,0x3b6d032e,2022-05-18 20:37:52,queenkayx.eth,0xe9f7d35e197f5c05f2e90284e6f599fa7e078ac3,6312,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x81c57bdad37f367668c2f4d58f9c9beae5194a61b35cecf49542222675e942a6,0xb4e4b296,2022-05-18 20:34:57,0xeedf40cef96b0cb4b669da22698c9d1f682065fb,0x530a2cfb169805602eb6c9352c3770154268e05b,4850,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.029
0x6ddd9ee753a92195e4091bb7a123479a226dadcd6e282f15db89e0b5e6620fe1,0xb4e4b296,2022-05-18 20:34:57,cloudperson.eth,0x4e4f5d368be4ca4b9f8809ecb8832fd8772cbdcd,861,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0298
0x479476da72a0bfd3009e28fd1a31b7cf36a93b05cbb717dc824293af1ab1d750,0x3b6d032e,2022-05-18 20:29:08,reubs.eth,0xe9f7d35e197f5c05f2e90284e6f599fa7e078ac3,8242,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0xf7bd75d72e5c637fe3a253a09f76a8151766dda4a8be2c249141054e06ea5313,0x3b6d032e,2022-05-18 20:27:09,acceptmyw.eth,0x646fbadf122702d6f58cc1500520dc24af45c4bf,3030,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x740ec0e05a846796ffd10617af68d4539ab12000c34c5775de922cd6c0b771c6,0x3b6d032e,2022-05-18 20:26:07,0xe0e93b0ffd74d38a14f497b5bccddb12b86f2f4f,0x646fbadf122702d6f58cc1500520dc24af45c4bf,2954,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x69591d4a466453710c1e837ce12a96302432ced2f05963af1ae1b47f6fb11e83,0x38e29209,2022-05-18 20:25:03,maycmoney.eth,0xa97f14955844028f7c3988340c73094e6a71e3de,7747,0x59728544B08AB483533076417FbBB2fD0B17CE3a,0.0
0x0ea6bdc524d3a436fef21ba3be7a7c0dbe2d86b2d7fb1931ce9a40cb1fd12e7c,0x9a2b8115,2022-05-18 20:24:27,0x4c38a6962c8226ff4a7003cb66ca5c644ce0d1d2,Gem: GemSwap 2,3916,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0.09
0x0ea6bdc524d3a436fef21ba3be7a7c0dbe2d86b2d7fb1931ce9a40cb1fd12e7c,0x9a2b8115,2022-05-18 20:24:27,0x4c38a6962c8226ff4a7003cb66ca5c644ce0d1d2,Gem: GemSwap 2,3840,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0.09
0x0ea6bdc524d3a436fef21ba3be7a7c0dbe2d86b2d7fb1931ce9a40cb1fd12e7c,0x9a2b8115,2022-05-18 20:24:27,0x4c38a6962c8226ff4a7003cb66ca5c644ce0d1d2,Gem: GemSwap 2,3598,0x83C8F28c26bF6aaca652Df1DbBE0e1b56F8baBa2,0.09
